episode,total_reward,avg_reward_10,best_reward
1,-2,-2,#NAME?
2,2.1,0.05,-2
3,-1.4,-0.433333333,0.05
4,-1.1,-0.6,0.05
5,-2.3,-0.94,0.05
6,-1.4,-1.016666667,0.05
7,-1.4,-1.071428571,0.05
8,-1.4,-1.1125,0.05
9,-2.2,-1.233333333,0.05
10,-1.4,-1.25,0.05
11,0.5,-1,0.05
12,-4.3,-1.64,0.05
13,-1.3,-1.63,0.05
14,-6.2,-2.14,0.05
15,-1.1,-2.02,0.05
16,-1.2,-2,0.05
17,-1,-1.96,0.05
18,-1.4,-1.96,0.05
19,1.2,-1.62,0.05
20,-1.5,-1.63,0.05
21,-3.4,-2.02,0.05
22,1.3,-1.46,0.05
23,1.3,-1.2,0.05
24,-3.1,-0.89,0.05
25,-1.4,-0.92,0.05
26,-1.4,-0.94,0.05
27,-1.4,-0.98,0.05
28,-2.1,-1.05,0.05
29,-1.6,-1.33,0.05
30,-1.4,-1.32,0.05
31,-1.3,-1.11,0.05
32,-2.1,-1.45,0.05
33,-1,-1.68,0.05
34,-1.4,-1.51,0.05
35,-1.4,-1.51,0.05
36,-0.9,-1.46,0.05
37,-1.3,-1.45,0.05
38,-1.3,-1.37,0.05
39,0.7,-1.14,0.05
40,-1.6,-1.16,0.05
41,-1.4,-1.17,0.05
42,-1.4,-1.1,0.05
43,-1.4,-1.14,0.05
44,-1.4,-1.14,0.05
45,1.3,-0.87,0.05
46,-0.1,-0.79,0.05
47,-1.2,-0.78,0.05
48,-2.1,-0.86,0.05
49,-1.3,-1.06,0.05
50,-1.2,-1.02,0.05
51,-1.4,-1.02,0.05
52,-1.4,-1.02,0.05
53,0.3,-0.85,0.05
54,-1.4,-0.85,0.05
55,-1.2,-1.1,0.05
56,-1.3,-1.22,0.05
57,-3.3,-1.43,0.05
58,-1.4,-1.36,0.05
59,-1.1,-1.34,0.05
60,0.3,-1.19,0.05
61,-1.4,-1.19,0.05
62,1.3,-0.92,0.05
63,0.8,-0.87,0.05
64,-1.3,-0.86,0.05
65,-3,-1.04,0.05
66,-1.8,-1.09,0.05
67,-1.1,-0.87,0.05
68,-2.7,-1,0.05
69,-1.4,-1.03,0.05
70,0.2,-1.04,0.05
71,0.9,-0.81,0.05
72,-1.4,-1.08,0.05
73,-3.9,-1.55,0.05
74,-1.6,-1.58,0.05
75,1.3,-1.15,0.05
76,-2.5,-1.22,0.05
77,-1,-1.21,0.05
78,-3.7,-1.31,0.05
79,-2.7,-1.44,0.05
80,-0.1,-1.47,0.05
81,-1.3,-1.69,0.05
82,-5.8,-2.13,0.05
83,-1.2,-1.86,0.05
84,-7,-2.4,0.05
85,0.2,-2.51,0.05
86,-3.5,-2.61,0.05
87,0,-2.51,0.05
88,-3.7,-2.51,0.05
89,-1,-2.34,0.05
90,0.6,-2.27,0.05
91,-1.6,-2.3,0.05
92,1.8,-1.54,0.05
93,-1.9,-1.61,0.05
94,1.7,-0.74,0.05
95,-0.1,-0.77,0.05
96,1.5,-0.27,0.05
97,1.4,-0.13,0.05
98,-3.6,-0.12,0.05
99,-1.1,-0.13,0.05
100,-3.3,-0.52,0.05
101,-1.2,-0.48,0.05
102,-2.2,-0.88,0.05
103,-1.4,-0.83,0.05
104,2.2,-0.78,0.05
105,-1.6,-0.93,0.05
106,-0.8,-1.16,0.05
107,-1.3,-1.43,0.05
108,-2.7,-1.34,0.05
109,-1.4,-1.37,0.05
110,1.3,-0.91,0.05
111,0.8,-0.71,0.05
112,1.5,-0.34,0.05
113,-1.3,-0.33,0.05
114,-1.8,-0.73,0.05
115,-1.6,-0.73,0.05
116,0.9,-0.56,0.05
117,0.2,-0.41,0.05
118,-2,-0.34,0.05
119,1,-0.1,0.05
120,-1.3,-0.36,0.05
121,-2.3,-0.67,0.05
122,-6.2,-1.44,0.05
123,1.7,-1.14,0.05
124,-3.7,-1.33,0.05
125,0.5,-1.12,0.05
126,0.6,-1.15,0.05
127,-1.1,-1.28,0.05
128,-2.6,-1.34,0.05
129,1.5,-1.29,0.05
130,1.3,-1.03,0.05
131,-1.2,-0.92,0.05
132,1.3,-0.17,0.05
133,-0.6,-0.4,0.05
134,0.8,0.05,0.05
135,-2,-0.2,0.05
136,-2.4,-0.5,0.05
137,0.9,-0.3,0.05
138,0.4,-2.22E-17,0.05
139,-0.8,-0.23,0.05
140,-0.7,-0.43,0.05
141,-0.6,-0.37,0.05
142,-0.8,-0.58,0.05
143,1.5,-0.37,0.05
144,-3.1,-0.76,0.05
145,-9.2,-1.48,0.05
146,-1.5,-1.39,0.05
147,-3.2,-1.8,0.05
148,-4.1,-2.25,0.05
149,0.1,-2.16,0.05
150,-2.1,-2.3,0.05
151,-2.2,-2.46,0.05
152,0.9,-2.29,0.05
153,-1.6,-2.6,0.05
154,-1.9,-2.48,0.05
155,1.4,-1.42,0.05
156,-2.8,-1.55,0.05
157,0.9,-1.14,0.05
158,-1.6,-0.89,0.05
159,-2.3,-1.13,0.05
160,-2.4,-1.16,0.05
161,-1.3,-1.07,0.05
162,-1.4,-1.3,0.05
163,-1.4,-1.28,0.05
164,-3.3,-1.42,0.05
165,-1.9,-1.75,0.05
166,-1.5,-1.62,0.05
167,0.9,-1.62,0.05
168,-2.3,-1.69,0.05
169,0.5,-1.41,0.05
170,-5.3,-1.7,0.05
171,0.7,-1.5,0.05
172,1.9,-1.17,0.05
173,-4,-1.43,0.05
174,-1.2,-1.22,0.05
175,-1.6,-1.19,0.05
176,-3.2,-1.36,0.05
177,-2.2,-1.67,0.05
178,-6.5,-2.09,0.05
179,2.6,-1.88,0.05
180,-1.2,-1.47,0.05
181,1.3,-1.41,0.05
182,-2.3,-1.83,0.05
183,-0.2,-1.45,0.05
184,-9,-2.23,0.05
185,-2,-2.27,0.05
186,-2.2,-2.17,0.05
187,-2.1,-2.16,0.05
188,-2.7,-1.78,0.05
189,-0.3,-2.07,0.05
190,-5.5,-2.5,0.05
191,1.5,-2.48,0.05
192,-1.4,-2.39,0.05
193,1.3,-2.24,0.05
194,-1.4,-1.48,0.05
195,-1.4,-1.42,0.05
196,-1.7,-1.37,0.05
197,-1.4,-1.3,0.05
198,-0.7,-1.1,0.05
199,-1.6,-1.23,0.05
200,1,-0.58,0.05
201,-2.2,-0.95,0.05
202,-1.3,-0.94,0.05
203,-1.3,-1.2,0.05
204,-5.9,-1.65,0.05
205,-0.8,-1.59,0.05
206,0.8,-1.34,0.05
207,-3.5,-1.55,0.05
208,-1.8,-1.66,0.05
209,1.2,-1.38,0.05
210,-1.2,-1.6,0.05
211,1.2,-1.26,0.05
212,0.5,-1.08,0.05
213,-1.7,-1.12,0.05
214,-1.3,-0.66,0.05
215,-2.3,-0.81,0.05
216,-1.4,-1.03,0.05
217,-8.4,-1.52,0.05
218,0.5,-1.29,0.05
219,-9.6,-2.37,0.05
220,-1.2,-2.37,0.05
221,-1.4,-2.63,0.05
222,-2.4,-2.92,0.05
223,-0.5,-2.8,0.05
224,-1,-2.77,0.05
225,-1.6,-2.7,0.05
226,-1.4,-2.7,0.05
227,1,-1.76,0.05
228,-11.2,-2.93,0.05
229,-1.3,-2.1,0.05
230,-1.6,-2.14,0.05
231,-3.1,-2.31,0.05
232,-1.8,-2.25,0.05
233,-1.7,-2.37,0.05
234,-1.8,-2.45,0.05
235,-1,-2.39,0.05
236,0.5,-2.2,0.05
237,-1.8,-2.48,0.05
238,-2.1,-1.57,0.05
239,-3.5,-1.79,0.05
240,-5,-2.13,0.05
241,0.6,-1.76,0.05
242,-6.9,-2.27,0.05
243,0.3,-2.07,0.05
244,1.1,-1.78,0.05
245,1.3,-1.55,0.05
246,1,-1.5,0.05
247,-4,-1.72,0.05
248,-1.4,-1.65,0.05
249,-2.8,-1.58,0.05
250,-1.4,-1.22,0.05
251,0.7,-1.21,0.05
252,0.6,-0.46,0.05
253,-4.7,-0.96,0.05
254,0.1,-1.06,0.05
255,-2.5,-1.44,0.05
256,-2.2,-1.76,0.05
257,0.2,-1.34,0.05
258,-0.8,-1.28,0.05
259,-1.2,-1.12,0.05
260,0.1,-0.97,0.05
261,0.2,-1.02,0.05
262,-2.5,-1.33,0.05
263,-3.7,-1.23,0.05
264,-1.4,-1.38,0.05
265,-1.3,-1.26,0.05
266,-1.1,-1.15,0.05
267,-1.1,-1.28,0.05
268,0.6,-1.14,0.05
269,-1.4,-1.16,0.05
270,0.2,-1.15,0.05
271,0.3,-1.14,0.05
272,-1.4,-1.03,0.05
273,-4.5,-1.11,0.05
274,-3.2,-1.29,0.05
275,0.3,-1.13,0.05
276,-1.5,-1.17,0.05
277,-1.4,-1.2,0.05
278,1.2,-1.14,0.05
279,-2.22E-16,-1,0.05
280,1.1,-0.91,0.05
281,-1.3,-1.07,0.05
282,-1.4,-1.07,0.05
283,-1.4,-0.76,0.05
284,-1.3,-0.57,0.05
285,-1.4,-0.74,0.05
286,-1.4,-0.73,0.05
287,-1.3,-0.72,0.05
288,-1.4,-0.98,0.05
289,-1.4,-1.12,0.05
290,1,-1.13,0.05
291,-1.3,-1.13,0.05
292,-0.1,-1,0.05
293,-1.4,-1,0.05
294,-1.4,-1.01,0.05
295,-1.4,-1.01,0.05
296,-1.4,-1.01,0.05
297,-1.6,-1.04,0.05
298,-1.2,-1.02,0.05
299,-1.4,-1.02,0.05
300,-2.4,-1.36,0.05
301,-1.3,-1.36,0.05
302,-1.3,-1.48,0.05
303,-1.4,-1.48,0.05
304,1.11E-16,-1.34,0.05
305,1,-1.1,0.05
306,1.2,-0.84,0.05
307,-1.4,-0.82,0.05
308,-1.1,-0.81,0.05
309,1.1,-0.56,0.05
310,1.2,-0.2,0.05
311,-0.3,-0.1,0.05
312,-1.2,-0.09,0.05
313,0.3,0.08,0.05
314,1.4,0.22,0.08
315,-1.4,-0.02,0.22
316,-1.3,-0.27,0.22
317,-1.3,-0.26,0.22
318,0.9,-0.06,0.22
319,0.3,-0.14,0.22
320,-1.3,-0.39,0.22
321,-0.1,-0.37,0.22
322,-1.4,-0.39,0.22
323,-1.4,-0.56,0.22
324,-1.3,-0.83,0.22
325,-1.3,-0.82,0.22
326,-1.4,-0.83,0.22
327,-1.4,-0.84,0.22
328,-2.5,-1.18,0.22
329,-1.4,-1.35,0.22
330,-3.3,-1.55,0.22
331,-14.2,-2.96,0.22
332,-1.8,-3,0.22
333,-1.4,-3,0.22
334,0.1,-2.86,0.22
335,-1.4,-2.87,0.22
336,-1.4,-2.87,0.22
337,0.9,-2.64,0.22
338,1,-2.29,0.22
339,-1.4,-2.29,0.22
340,-3.1,-2.27,0.22
341,-1.4,-0.99,0.22
342,-0.5,-0.86,0.22
343,0.4,-0.68,0.22
344,-1.4,-0.83,0.22
345,0.7,-0.62,0.22
346,-1.4,-0.62,0.22
347,-1.4,-0.85,0.22
348,-1.4,-1.09,0.22
349,0.8,-0.87,0.22
350,-1.5,-0.71,0.22
351,1.2,-0.45,0.22
352,0.7,-0.33,0.22
353,0.9,-0.28,0.22
354,-3.5,-0.49,0.22
355,-1.4,-0.7,0.22
356,-2.4,-0.8,0.22
357,-1.3,-0.79,0.22
358,-1.3,-0.78,0.22
359,1.1,-0.75,0.22
360,0.8,-0.52,0.22
361,-1.8,-0.82,0.22
362,-0.7,-0.96,0.22
363,1.2,-0.93,0.22
364,-1.2,-0.7,0.22
365,-1.1,-0.67,0.22
366,1.2,-0.31,0.22
367,-1.6,-0.34,0.22
368,1.2,-0.09,0.22
369,-0.8,-0.28,0.22
370,-1.3,-0.49,0.22
371,1.3,-0.18,0.22
372,-1.6,-0.27,0.22
373,1.6,-0.23,0.22
374,1.2,0.01,0.22
375,-1.1,0.01,0.22
376,-0.8,-0.19,0.22
377,0.8,0.05,0.22
378,1.1,0.04,0.22
379,-1.6,-0.04,0.22
380,-1.4,-0.05,0.22
381,1.1,-0.07,0.22
382,1.1,0.2,0.22
383,-1.6,-0.12,0.22
384,-1.8,-0.42,0.22
385,0.6,-0.25,0.22
386,-1.3,-0.3,0.22
387,-1.2,-0.5,0.22
388,-1.2,-0.73,0.22
389,-1.6,-0.73,0.22
390,-1.6,-0.75,0.22
391,0.6,-0.8,0.22
392,0.8,-0.83,0.22
393,-1.5,-0.82,0.22
394,-1.4,-0.78,0.22
395,-1.3,-0.97,0.22
396,-1.6,-1,0.22
397,-1.4,-1.02,0.22
398,1.4,-0.76,0.22
399,0.7,-0.53,0.22
400,1,-0.27,0.22
401,0.1,-0.32,0.22
402,-1.4,-0.54,0.22
403,-1.3,-0.52,0.22
404,-1.4,-0.52,0.22
405,-1.2,-0.51,0.22
406,1,-0.25,0.22
407,-1.4,-0.25,0.22
408,-1.6,-0.55,0.22
409,1,-0.52,0.22
410,-1.4,-0.76,0.22
411,-1.2,-0.89,0.22
412,-1.4,-0.89,0.22
413,1,-0.66,0.22
414,0.9,-0.43,0.22
415,-0.8,-0.39,0.22
416,1.1,-0.38,0.22
417,-1.4,-0.38,0.22
418,-2.7,-0.49,0.22
419,0.4,-0.55,0.22
420,-1.3,-0.54,0.22
421,0.8,-0.34,0.22
422,-1.3,-0.33,0.22
423,-0.5,-0.48,0.22
424,-4.8,-1.05,0.22
425,-1.4,-1.11,0.22
426,0.3,-1.19,0.22
427,-1.4,-1.19,0.22
428,-2.4,-1.16,0.22
429,-2.4,-1.44,0.22
430,-1.4,-1.45,0.22
431,-1.3,-1.66,0.22
432,-4.4,-1.97,0.22
433,-1.3,-2.05,0.22
434,-1.3,-1.7,0.22
435,-1.4,-1.7,0.22
436,-1.4,-1.87,0.22
437,-1.4,-1.87,0.22
438,-1.1,-1.74,0.22
439,-1.4,-1.64,0.22
440,0.9,-1.41,0.22
441,-1.9,-1.47,0.22
442,-1.9,-1.22,0.22
443,0.2,-1.07,0.22
444,0.8,-0.86,0.22
445,-1.4,-0.86,0.22
446,0.4,-0.68,0.22
447,-1.4,-0.68,0.22
448,1,-0.47,0.22
449,1.4,-0.19,0.22
450,2.2,-0.06,0.22
451,1.2,0.25,0.22
452,-4.6,-0.02,0.25
453,-1.3,-0.17,0.25
454,0.9,-0.16,0.25
455,-1.3,-0.15,0.25
456,1.1,-0.08,0.25
457,0.7,0.13,0.25
458,-6,-0.57,0.25
459,-1.3,-0.84,0.25
460,-1.3,-1.19,0.25
461,-1.4,-1.45,0.25
462,-1.3,-1.12,0.25
463,-1.4,-1.13,0.25
464,0.5,-1.17,0.25
465,-0.5,-1.09,0.25
466,-1.4,-1.34,0.25
467,1.2,-1.29,0.25
468,-1.3,-0.82,0.25
469,-1.4,-0.83,0.25
470,-1.3,-0.83,0.25
471,1.3,-0.56,0.25
472,-1.4,-0.57,0.25
473,0.6,-0.37,0.25
474,-1.2,-0.54,0.25
475,0.8,-0.41,0.25
476,-1.4,-0.41,0.25
477,-1.4,-0.67,0.25
478,0.6,-0.48,0.25
479,-1.4,-0.48,0.25
480,-1.4,-0.49,0.25
481,-1.3,-0.75,0.25
482,-1.4,-0.75,0.25
483,-7.2,-1.53,0.25
484,1.2,-1.29,0.25
485,1.2,-1.25,0.25
486,0.6,-1.05,0.25
487,-2.9,-1.2,0.25
488,2.3,-1.03,0.25
489,-0.5,-0.94,0.25
490,-1.2,-0.92,0.25
491,0.6,-0.73,0.25
492,-1.4,-0.73,0.25
493,-1.4,-0.15,0.25
494,-1.4,-0.41,0.25
495,1,-0.43,0.25
496,-1.4,-0.63,0.25
497,-1.3,-0.47,0.25
498,1.5,-0.55,0.25
499,0.6,-0.44,0.25
500,-1.4,-0.46,0.25
501,-0.3,-0.55,0.25
502,-3,-0.71,0.25
503,-1.4,-0.71,0.25
504,-1.4,-0.71,0.25
505,-1.4,-0.95,0.25
506,-1.4,-0.95,0.25
507,-0.1,-0.83,0.25
508,-2.2,-1.2,0.25
509,-0.8,-1.34,0.25
510,-0.1,-1.21,0.25
511,1.3,-1.05,0.25
512,-1.2,-0.87,0.25
513,-1.4,-0.87,0.25
514,-1.4,-0.87,0.25
515,1.1,-0.62,0.25
516,-1.4,-0.62,0.25
517,-1.4,-0.75,0.25
518,0,-0.53,0.25
519,-1.1,-0.56,0.25
520,-2.6,-0.81,0.25
521,-1.4,-1.08,0.25
522,-2.6,-1.22,0.25
523,1.3,-0.95,0.25
524,0.7,-0.74,0.25
525,-1.2,-0.97,0.25
526,-3.6,-1.19,0.25
527,-1.4,-1.19,0.25
528,-1.8,-1.37,0.25
529,-1.4,-1.4,0.25
530,-1.4,-1.28,0.25
531,-0.4,-1.18,0.25
532,-1.8,-1.1,0.25
533,1.4,-1.09,0.25
534,-1.4,-1.3,0.25
535,-1.4,-1.32,0.25
536,-2.5,-1.21,0.25
537,0.5,-1.02,0.25
538,0.7,-0.77,0.25
539,0.8,-0.55,0.25
540,1.2,-0.29,0.25
541,1.3,-0.12,0.25
542,-5.9,-0.53,0.25
543,-2.6,-0.93,0.25
544,-1.2,-0.91,0.25
545,-2,-0.97,0.25
546,-3.3,-1.05,0.25
547,-0.9,-1.19,0.25
548,-1.2,-1.38,0.25
549,-4,-1.86,0.25
550,0.5,-1.93,0.25
551,1.3,-1.93,0.25
552,-1.5,-1.49,0.25
553,-2.5,-1.48,0.25
554,-1,-1.46,0.25
555,-1.4,-1.4,0.25
556,0.9,-0.98,0.25
557,2.4,-0.65,0.25
558,-1.5,-0.68,0.25
559,-1.3,-0.41,0.25
560,-0.5,-0.51,0.25
561,-1.1,-0.75,0.25
562,-1.3,-0.73,0.25
563,-3.2,-0.8,0.25
564,-1.4,-0.84,0.25
565,1.2,-0.58,0.25
566,-2.4,-0.91,0.25
567,1.3,-1.02,0.25
568,-1.3,-1,0.25
569,-1.4,-1.01,0.25
570,-4.6,-1.42,0.25
571,-7.3,-2.04,0.25
572,-3.2,-2.23,0.25
573,-7.1,-2.62,0.25
574,-1.3,-2.61,0.25
575,-1.4,-2.87,0.25
576,-2.8,-2.91,0.25
577,1.2,-2.92,0.25
578,-1.3,-2.92,0.25
579,0.4,-2.74,0.25
580,-1.4,-2.42,0.25
581,1.1,-1.58,0.25
582,-0.8,-1.34,0.25
583,1.8,-0.45,0.25
584,-1.3,-0.45,0.25
585,-1.2,-0.43,0.25
586,-1.2,-0.27,0.25
587,-1.1,-0.5,0.25
588,-4,-0.77,0.25
589,-1.4,-0.95,0.25
590,-0.9,-0.9,0.25
591,-1.4,-1.15,0.25
592,0.5,-1.02,0.25
593,1.4,-1.06,0.25
594,-2.6,-1.19,0.25
595,-6,-1.67,0.25
596,-1.4,-1.69,0.25
597,-1.4,-1.72,0.25
598,-1.3,-1.45,0.25
599,1.4,-1.17,0.25
600,1,-0.98,0.25
601,-1.3,-0.97,0.25
602,-1.3,-1.15,0.25
603,-0.9,-1.38,0.25
604,-1.3,-1.25,0.25
605,-1.4,-0.79,0.25
606,-1.4,-0.79,0.25
607,-1.4,-0.79,0.25
608,-1.4,-0.8,0.25
609,1.2,-0.82,0.25
610,0.5,-0.87,0.25
611,-1.4,-0.88,0.25
612,0.4,-0.71,0.25
613,-1.4,-0.76,0.25
614,-1.4,-0.77,0.25
615,0,-0.63,0.25
616,-1.4,-0.63,0.25
617,-2,-0.69,0.25
618,-1.4,-0.69,0.25
619,-10.8,-1.89,0.25
620,-1.3,-2.07,0.25
621,-3,-2.23,0.25
622,-1.4,-2.41,0.25
623,1.6,-2.11,0.25
624,-1.3,-2.1,0.25
625,0.9,-2.01,0.25
626,-1.4,-2.01,0.25
627,-1.6,-1.97,0.25
628,1.5,-1.68,0.25
629,-1.4,-0.74,0.25
630,-5.2,-1.13,0.25
631,-4.3,-1.26,0.25
632,-1.4,-1.26,0.25
633,-1.9,-1.61,0.25
634,-1.4,-1.62,0.25
635,0.4,-1.67,0.25
636,-2,-1.73,0.25
637,-1.2,-1.69,0.25
638,-1.5,-1.99,0.25
639,-1,-1.95,0.25
640,-1.5,-1.58,0.25
641,-0.9,-1.24,0.25
642,-6.5,-1.75,0.25
643,0.8,-1.48,0.25
644,-4.3,-1.77,0.25
645,-1.11E-16,-1.81,0.25
646,-1.2,-1.73,0.25
647,-2.6,-1.87,0.25
648,-3,-2.02,0.25
649,-1.3,-2.05,0.25
650,0.3,-1.87,0.25
651,1.4,-1.64,0.25
652,-1.6,-1.15,0.25
653,-1.3,-1.36,0.25
654,-1.3,-1.06,0.25
655,-1.3,-1.19,0.25
656,-1.2,-1.19,0.25
657,1.2,-0.81,0.25
658,-2.3,-0.74,0.25
659,-0.6,-0.67,0.25
660,-1.4,-0.84,0.25
661,1.1,-0.87,0.25
662,-1,-0.81,0.25
663,-1.4,-0.82,0.25
664,0.3,-0.66,0.25
665,-2.1,-0.74,0.25
666,-1.4,-0.76,0.25
667,-2.7,-1.15,0.25
668,1,-0.82,0.25
669,1.9,-0.57,0.25
670,-2.5,-0.68,0.25
671,-4.7,-1.26,0.25
672,-2.7,-1.43,0.25
673,-5.6,-1.85,0.25
674,1.1,-1.77,0.25
675,-1.1,-1.67,0.25
676,-1.3,-1.66,0.25
677,-3.2,-1.71,0.25
678,-1.6,-1.97,0.25
679,-1.5,-2.31,0.25
680,-0.8,-2.14,0.25
681,-1.4,-1.81,0.25
682,-2,-1.74,0.25
683,-0.8,-1.26,0.25
684,1.3,-1.24,0.25
685,2.1,-0.92,0.25
686,-1,-0.89,0.25
687,-6.6,-1.23,0.25
688,-2,-1.27,0.25
689,-1.2,-1.24,0.25
690,-1.4,-1.3,0.25
691,-2,-1.36,0.25
692,2.1,-0.95,0.25
693,-2.1,-1.08,0.25
694,1.2,-1.09,0.25
695,1.2,-1.18,0.25
696,-3.7,-1.45,0.25
697,-2.9,-1.08,0.25
698,-1.4,-1.02,0.25
699,-1.2,-1.02,0.25
700,-1.5,-1.03,0.25
701,-1.5,-0.98,0.25
702,0.9,-1.1,0.25
703,-1.5,-1.04,0.25
704,0.8,-1.08,0.25
705,-5,-1.7,0.25
706,1.4,-1.19,0.25
707,0.6,-0.84,0.25
708,1.2,-0.58,0.25
709,-1.2,-0.58,0.25
710,-3.8,-0.81,0.25
711,-1.3,-0.79,0.25
712,0.1,-0.87,0.25
713,-1.3,-0.85,0.25
714,-1.4,-1.07,0.25
715,-1.3,-0.7,0.25
716,-2.2,-1.06,0.25
717,-1.2,-1.24,0.25
718,-2.3,-1.59,0.25
719,0.8,-1.39,0.25
720,-1.3,-1.14,0.25
721,-1.4,-1.15,0.25
722,-1.3,-1.29,0.25
723,-1.4,-1.3,0.25
724,-1.5,-1.31,0.25
725,-1,-1.28,0.25
726,0.2,-1.04,0.25
727,-1.3,-1.05,0.25
728,-1.3,-0.95,0.25
729,-1.4,-1.17,0.25
730,-1.4,-1.18,0.25
731,-0.8,-1.12,0.25
732,-0.1,-1,0.25
733,-1.4,-1,0.25
734,-1.3,-0.98,0.25
735,-1.4,-1.02,0.25
736,-1.2,-1.16,0.25
737,-1.3,-1.16,0.25
738,-1.2,-1.15,0.25
739,-8.4,-1.85,0.25
740,1.6,-1.55,0.25
741,-0.7,-1.54,0.25
742,-1.7,-1.7,0.25
743,-1.2,-1.68,0.25
744,-1.7,-1.72,0.25
745,-2,-1.78,0.25
746,0.9,-1.57,0.25
747,-1.8,-1.62,0.25
748,-1.3,-1.63,0.25
749,2.22E-16,-0.79,0.25
750,-1.5,-1.1,0.25
751,-2.8,-1.31,0.25
752,-1.1,-1.25,0.25
753,2,-0.93,0.25
754,2.8,-0.48,0.25
755,1.3,-0.15,0.25
756,1.6,-0.08,0.25
757,-0.2,0.08,0.25
758,-2.3,-0.02,0.25
759,-3.2,-0.34,0.25
760,-2.3,-0.42,0.25
761,-4.7,-0.61,0.25
762,-1.4,-0.64,0.25
763,1.1,-0.73,0.25
764,-1.3,-1.14,0.25
765,1.1,-1.16,0.25
766,-2.1,-1.53,0.25
767,-1.4,-1.65,0.25
768,1.4,-1.28,0.25
769,-0.6,-1.02,0.25
770,-1.3,-0.92,0.25
771,-1.4,-0.59,0.25
772,-1.3,-0.58,0.25
773,-1.3,-0.82,0.25
774,0.4,-0.65,0.25
775,-2.1,-0.97,0.25
776,1,-0.66,0.25
777,1.1,-0.41,0.25
778,-2.3,-0.78,0.25
779,-1.4,-0.86,0.25
780,-2.2,-0.95,0.25
781,-1.6,-0.97,0.25
782,0.9,-0.75,0.25
783,1.1,-0.51,0.25
784,-3.3,-0.88,0.25
785,1.9,-0.48,0.25
786,0.5,-0.53,0.25
787,-1.4,-0.78,0.25
788,1.6,-0.39,0.25
789,-7.2,-0.97,0.25
790,-3.4,-1.09,0.25
791,0,-0.93,0.25
792,1.3,-0.89,0.25
793,1.6,-0.84,0.25
794,-1.3,-0.64,0.25
795,0.5,-0.78,0.25
796,1.4,-0.69,0.25
797,-2.2,-0.77,0.25
798,0.6,-0.87,0.25
799,-0.9,-0.24,0.25
800,-1.4,-0.04,0.25
